"w4-input","w4-output","w6-input","w6-output"
"6,4,0,2,10","10,6,8,0,4,2,12,14","6,4,0,2,10,8,16","10,6,8,16,14,22,4,2,12,18,0,20"
"6,10,2,0,4","0,8,6,10,12,2,4,14","6,10,2,0,4,16,8","16,8,6,10,22,14,12,2,4,20,0,18"
"14,0,4,2,10","14,2,0,8,4,6,12,10","14,0,4,2,10,12,20","14,18,16,0,2,10,4,6,12,22,8,20"
"14,10,0,4,2","8,14,2,0,10,4,6,12","12,6,14,10,0,4,2","18,2,22,12,16,14,20,0,10,4,6,8"
"14,10,0,4,2","8,14,2,0,10,4,6,12","12,14,10,0,4,2,6","2,22,12,16,14,18,0,10,4,6,8,20"
"14,10,2,4,0","8,0,2,14,12,6,4,10","14,10,2,4,0,20,12","0,16,18,14,10,2,12,6,4,20,8,22"
"2,12,0,6,14","14,2,8,0,12,6,4,10","2,12,0,6,14,8,16","14,2,8,16,10,18,12,6,20,22,0,4"
"2,14,6,0,12","0,8,2,14,4,6,12,10","2,14,6,0,12,16,8","16,8,2,14,18,10,20,6,12,4,0,22"
"12,0,8,14,2","12,4,10,14,8,6,0,2","12,0,8,14,2,22,6","12,20,2,14,10,18,8,22,16,0,4,6"
"12,2,14,8,0","14,10,4,12,0,6,8,2","12,2,14,8,0,6,22","14,2,20,12,18,10,16,22,8,6,4,0"
"4,0,8,10,6","4,12,14,10,8,2,0,6","4,0,8,10,6,18,2","4,12,14,10,22,6,8,18,16,0,20,2"
"4,6,10,8,0","10,14,12,4,0,2,8,6","4,6,10,8,0,2,18","10,14,12,4,6,22,16,18,8,2,20,0"
"0,4,12,10,14","4,12,10,14,0,6,8,2","0,4,12,10,14,18,2","4,12,10,14,18,2,16,22,0,8,20,6"
"0,4,14,10,12","4,14,10,12,2,8,6,0","2,0,4,14,10,12,8","2,6,16,12,14,10,4,18,0,22,20,8"
"0,4,14,10,12","4,14,10,12,2,8,6,0","2,8,0,4,14,10,12","10,2,6,16,12,14,8,4,18,0,22,20"
"0,14,10,12,4","14,10,12,4,8,6,0,2","0,14,10,12,4,2,18","14,10,12,4,2,18,0,22,16,6,20,8"
"7,5,1,3,11","12,8,10,2,6,4,14,0","7,5,1,3,11,9,17","12,8,10,18,16,0,6,4,14,20,2,22"
"7,11,3,1,5","2,10,8,12,14,4,6,0","7,11,3,1,5,17,9","18,10,8,12,0,16,14,4,6,22,2,20"
"15,1,5,3,11","0,4,2,10,6,8,14,12","15,1,5,3,11,13,21","16,20,18,2,4,12,6,8,14,0,10,22"
"15,11,1,5,3","10,0,4,2,12,6,8,14","13,7,15,11,1,5,3","20,4,0,14,18,16,22,2,12,6,8,10"
"15,11,1,5,3","10,0,4,2,12,6,8,14","13,15,11,1,5,3,7","4,0,14,18,16,20,2,12,6,8,10,22"
"15,11,3,5,1","10,2,4,0,14,8,6,12","15,11,3,5,1,21,13","2,18,20,16,12,4,14,8,6,22,10,0"
"3,13,1,7,15","0,4,10,2,14,8,6,12","3,13,1,7,15,9,17","16,4,10,18,12,20,14,8,22,0,2,6"
"3,15,7,1,13","2,10,4,0,6,8,14,12","3,15,7,1,13,17,9","18,10,4,16,20,12,22,8,14,6,2,0"
"13,1,9,15,3","14,6,12,0,10,8,2,4","13,1,9,15,3,23,7","14,22,4,16,12,20,10,0,18,2,6,8"
"13,3,15,9,1","0,12,6,14,2,8,10,4","13,3,15,9,1,7,23","16,4,22,14,20,12,18,0,10,8,6,2"
"5,1,9,11,7","6,14,0,12,10,4,2,8","5,1,9,11,7,19,3","6,14,16,12,0,8,10,20,18,2,22,4"
"1,5,13,11,15","6,14,12,0,2,8,10,4","1,5,13,11,15,19,3","6,14,12,16,20,4,18,0,2,10,22,8"
"1,5,15,11,13","6,0,12,14,4,10,8,2","3,1,5,15,11,13,9","4,8,18,14,16,12,6,20,2,0,22,10"
"1,5,15,11,13","6,0,12,14,4,10,8,2","3,9,1,5,15,11,13","12,4,8,18,14,16,10,6,20,2,0,22"
"1,15,11,13,5","0,12,14,6,10,8,2,4","1,15,11,13,5,3,19","16,12,14,6,4,20,2,0,18,8,22,10"
"8,6,2,4,12","14,10,12,4,8,6,0,2","8,6,2,4,12,10,18","14,10,12,20,18,2,8,6,16,22,4,0"
"8,12,4,2,6","4,12,10,14,0,6,8,2","8,12,4,2,6,18,10","20,12,10,14,2,18,16,6,8,0,4,22"
"6,2,8,12,10","8,14,2,0,10,4,6,12","16,2,8,12,10,22,14","18,0,4,2,14,6,10,20,22,8,12,16"
"6,2,10,12,8","8,0,2,14,12,6,4,10","6,2,10,12,8,20,4","8,16,18,14,2,10,12,22,20,4,0,6"
"6,8,12,10,2","14,2,0,8,4,6,12,10","6,8,12,10,2,4,20","14,18,16,8,10,2,20,22,12,6,0,4"
"9,7,3,5,13","0,12,14,6,10,8,2,4","9,7,3,5,13,11,19","16,12,14,22,20,4,10,8,18,0,6,2"
"9,13,5,3,7","6,14,12,0,2,8,10,4","9,13,5,3,7,19,11","22,14,12,16,4,20,18,8,10,2,6,0"
"7,3,11,13,9","10,2,4,0,14,8,6,12","7,3,11,13,9,21,5","10,18,20,16,4,12,14,0,22,6,2,8"
"7,9,13,11,3","0,4,2,10,6,8,14,12","7,9,13,11,3,5,21","16,20,18,10,12,4,22,0,14,8,2,6"
"10,8,4,6,14","2,14,0,8,12,10,4,6","10,8,4,6,14,12,20","18,14,16,0,22,6,12,10,20,2,8,4"
"10,14,6,4,8","8,0,14,2,4,10,12,6","10,14,6,4,8,20,12","0,16,14,18,6,22,20,10,12,4,8,2"
"8,4,12,14,10","12,4,6,2,0,10,8,14","8,4,12,14,10,22,6","12,20,22,18,6,14,16,2,0,8,4,10"
"8,10,14,12,4","2,6,4,12,8,10,0,14","8,10,14,12,4,6,22","18,22,20,12,14,6,0,2,16,10,4,8"
"11,9,5,7,15","4,0,2,10,14,12,6,8","11,9,5,7,15,13,21","20,16,18,2,0,8,14,12,22,4,10,6"
"11,15,7,5,9","10,2,0,4,6,12,14,8","11,15,7,5,9,21,13","2,18,16,20,8,0,22,12,14,6,10,4"
"9,5,13,15,11","14,6,8,4,2,12,10,0","9,5,13,15,11,23,7","14,22,0,20,8,16,18,4,2,10,6,12"
"9,11,15,13,5","4,8,6,14,10,12,2,0","9,11,15,13,5,7,23","20,0,22,14,16,8,2,4,18,12,6,10"
